Rhisveri,Rhisveri Zessoprical | Duke Rhisveri | Duke Rhimemorom | Rhis | Rhissy | Rhisveri sor Kerwenas |,Male |,11441 |,Wyrm |,Alive |,Ailendamus | Immortals,Terandria |,Ailendamus |,Noble |,Mage | Leader |,https://wiki.wanderinginn.com/images/e/eb/Thief-by-dr.replig8r.png,1,1755,8
Elia,Elia Arcsinger | Kingslayer |,Female |,68 |,Half-Elf |,Alive |,Arcsinger's Bows | The Wandering Inn |,Terandria | Izril |,Gaiil-Drome | The Wandering Inn |,Adventurer |,Archer |,https://wiki.wanderinginn.com/images/7/7a/Arcsinger_%28Zoomed_In%29_by_auspiciousoctopi.jpg,1,1423,4
Toren,Toren | Tor | Miss Swordswoman | Miss Warrior | Nekhti |,Male |,,Undead |,Active |,Az'kerash | The Wandering Inn |,Izril |,The Wandering Inn | Bloodfields |,Vassal | Guard |,Warrior |,https://wiki.wanderinginn.com/images/c/c4/Toren_in_full_outfit_by_DemonicCriminal.jpg,1,2942,1
Reiss,Reiss | Goblin Lord | Apprentice |,Male |,14 |,Ghost |,Deceased |,Az'kerash |,Izril |,North Izril |,Noble | ,Mage | Leader |,https://wiki.wanderinginn.com/images/0/01/Reiss_and_Spider_by_Jawjee.jpg,1,3586,1
Pelt,Pelt Dooristone |,Male |,120 |,Dwarf |,Alive |,Blacksmith's Guild | Pallass,Izril |,Pallass | Esthelm |,Smith |,Non-combat |,https://wiki.wanderinginn.com/images/2/22/Pelt_by_HolyChicken.png,1,1249,6
Normen,Normen |,Male |,,Human |,Alive |,Brotherhood of Serendipitous Meetings | Fellowship of the Inn | The Wandering Inn | Order of Solstice |,Izril |,Invrisil | The Wandering Inn | ,Knight | Crime |,Warrior |,https://wiki.wanderinginn.com/images/f/f3/Normen-by-butts.jpg,1,1809,8
Lyonette,Lyonette du Marquin | Lyon | Lyon Solstice | Lionette Solstice | Lyonette the Fiery | Princess of the Hearth | Lyonette the Extremely Stressed | Heartbreaker Lyonette |,Female |,18 |,Human |,Alive |,Calanfer | The Wandering Inn | House Marquin |,Izril |,The Wandering Inn | Calanfer |,Innkeeper | Royal |,Non-combat |,https://wiki.wanderinginn.com/images/a/ad/Lyon_by_Stephanie_Chen.jpg,1,14184,2
Az’kerash,Perril Chandler | Perril | Az'kerash | The Necromancer | Necromancer of Terandria | Archmage Chandler | Archmage of Death | Gravewarden of Therras | Undying Shield of Calanfer | Great Master of the Dead | Anonymous Spellcaster A | Azzy |,Male |,200 |,Human |,Active |,Chosen |,Izril |,Bloodfields |,Mage | ,Mage |,https://wiki.wanderinginn.com/images/8/81/Az%27kerash_by_Chalyon.jpg,1,2551,1
Cauwine,Cauwine | Goddess of Last Stands | Goddess of War | Goddess of Youth | Goddess of War and Youth | Goddess of Adventures and War | Goddess of Battle | Goddess of the Hunt | Goddess of Glorious Souls | Hunter of Glorious Souls | Patron of Glorious Souls | Patron of Valor | First of the Hunt | Young Huntress | Huntress of Victory |,Female |,,God |,Active |,Dead Gods |,Kasignel |,Kasignel |,God |,God |,,1,233,8
Tamaroth,Tamaroth | God of Leaders and Rulers | God of Rulers | God of Leaders | The Man with the Beard | Bearded Leader | Tam | Tammy |,Male |,,God |,Active |,Dead Gods |,Kasignel |,Kasignel |,God |,God |,,1,318,2
Emerrhain,Emerrhain | God of Scholars and Magic | God of Magic and Studies | God of Magic | God of Studies | God of Secrets | The Wise Man | The Man with the Book |,Male |,,God |,Active |,Dead Gods |,Kasignel |,Kasignel |,God |,God |,,1,211,7
Norechl,Norechl | Deity of the Forgotten | God of the Forgotten | God of Forgotten Things | God of Seekers | God of the Lost | God of Nothing | Dead God of Lost Things | First of the Lost | First of Nothing | Furthest Traveller | Lost Thing |,Nonbinary |,,God |,Active |,Dead Gods |,Kasignel |,Kasignel |,God |,God |,https://wiki.wanderinginn.com/images/4/49/Norechel_by_Relia.png,1,212,7
Kasigna,Kasigna | Kasigna of the End | God of Death | Goddess of Death | Goddess of the Afterlife | Three-In-One | One-In-Three | The Maiden | The Mother | The Matriarch | The Crone | Corpsemother | The Final Judge | Kaligma |,Female |,,God |,Deceased |,Dead Gods |,Kasignel |,Kasignel |,God |,God |,https://wiki.wanderinginn.com/images/3/36/Threeinone-by-relia.png,1,914,8
Laedonius,Laedonius Deviy | God of Dance | God of the Dance | God of Meetings | God of Love | God of Dance and Love | God of Love and Meetings | The Gracious Dancer | The Lover | The Friend of the Divine | Patron of Art and Song | Smiling Man | Dancing Man |,Male |,,God |,Deceased |,Dead Gods |,Kasignel |,Kasignel |,God |,God |,,1,228,5
Silvenia,Silvenia Ettertree | Death of Magic | Silvenia of Ages | Silvenia of Demons | Silvenia the Traitor | Silvenia the Deathless | Archmage of Terandria | Archmage of Elves | Archmage of Demon's Bane | Archmage of the Forgotten Era | Archmage of Demons | Archmage of Magic | Archmage of Magic's Ire | Archmage of Hell | Islandbreaker | The Traitor of Terandria | Curse of Elves | Traitor of Elves | The fallen [Archmage] of Wistram |,Female |,5600 |,Half-Elf |,Alive |,Demon Kingdom | Deathless |,Rhir | Terandria |,Demon Kingdom | Avel |,Death | Archmage | Mage |,Mage |,https://wiki.wanderinginn.com/images/d/de/Silvenia%27s_portrait_by_Maoxfhan.jpg,1,1293,6
Cara,Cara O'Sullivan | 'Humble Actor' | Queen of Pop | Siren of Songs | Baroness of the Beat | Singer of Terandria | Singer of Afiele | Gravesinger of Afiele | Sid |,Female |,24 |,Human |,Alive |,Earthers |,Terandria |,Noelictus | Ailendamus |,Performer |,Non-combat |,https://wiki.wanderinginn.com/images/0/07/Cara_O%E2%80%99Sullivan_by_ArtsyNada.jpg,1,1233,2
Oberon,Oberon | Faerie King | The Lord of the Glades | The Walker of the Forests | The Eldest | The Stag King | Green King | King of Avalon | Ruler of the Fae | The Eternal Trickster | The King of Faeries | Lord of the Beasts | Ruler of the Seelie Court | Green Lord |,Male |,,Fae |,Alive |,Fae | Immortals,Avalon |,Avalon |,God |,God |,,1,342,4
Ivolethe,Ivolethe |,Female |,,Fae |,Alive |,Fae | Immortals,Avalon |,Avalon |,Noble |,Non-combat |,https://wiki.wanderinginn.com/images/3/36/Ivolethe-by-tomeo.jpg,1,1043,3
Fierre,Serafierre val Lischelle-Drakle | Fierre | Fierre the Opener | Cougher | Bloody Secrets |,Female |,26 |,Vampire |,Alive |,Fellowship of the Inn | Drakle Family,Izril |,Reizmelt | Invrisil |,Crime |,Warrior |,https://wiki.wanderinginn.com/images/9/9f/Fierre_%282%29_by_Chalyon.png,1,2935,6
Valeterisa,Valeterisa Imarris | Archmage Valeterisa | Archmage of Izril | Valley | Anabelle |,Female |,65 |,Human |,Alive |,Fissival | The Adventurer's Haven | Wistram,Izril |,The Wandering Inn | Adventurer's Haven |,Archmage | Mage |,Mage |,https://wiki.wanderinginn.com/images/6/6a/Vally_by_mg.jpg,1,3581,3
Pyrite,Pyrite | Gold Stone Chieftain | Golden Goblin |,Male |,32 |,Hobgoblin | Goblin |,Deceased |,Flooded Waters Tribe |,Izril |,North Izril |,Chieftain |,Leader |,https://wiki.wanderinginn.com/images/f/fa/Pyrite_by_Artsy_Nada.jpg,1,2133,2
Ulvama,Ulvama |,Female |,29 |,Hobgoblin | Goblin |,Alive |,Flooded Waters Tribe | Fellowship of the Inn |,Izril |,Dwarfhall's Rest | Goblinhome | The Wandering Inn |,Shaman |,Mage |,https://wiki.wanderinginn.com/images/9/9b/Ulvama_by_pkay.jpg,1,3553,3
